ID,ID_MOV,DESCRIZIONE
422,2622,Spesa AH
423,2624,2G2G
424,2628,Spesa AH
425,2630,Laundry
426,2639,Spesa AH
427,2641,Spesa AH
428,2643,Spesa AH
429,2644,Laundry
430,2647,Metropolitana
431,2653,Spesa AH
432,2686,Spesa MdC
434,2706,Metropolitana
436,2708,Laundry
437,2710,Spesa da Amazing Oriental
438,2711,Spesa AH
439,2720,Spesa AH
440,2721,Spesa AH
441,2727,Metropolitana
451,2755,Pranzo Kanteen14
452,2756,Spesa AH
453,2757,Colazione AH
454,2758,Spesa AH
455,2759,Laundry
456,2760,Spesa AH
457,2763,2G2G
458,2764,Colazione AH
459,2766,Colazione + spesa AH
460,2769,Spesa AH
461,2770,Spesa AH
462,2775,Spesa AH
464,2779,Laundry
465,2780,Metro
466,2781,Spesa AH
467,2782,Spesa Amazing Oriental
468,2783,Laundry
469,2785,Spesa AH
470,2787,Spesa AH
473,2790,Spesa AH
472,2789,Colazione AH
475,2793,Colazione AH
476,2798,Colazione AH
477,2799,Laundry
478,2801,Spesa metropolitana giorni 4->8, 11-12 Marzo
479,2816,Spesa mezzi Am 12-13/03
481,2821,Spesa AH
483,2824,Spesa AH
484,2825,Spesa AH
485,2827,Spesa AH
486,2828,Spesa AH
487,2830,Mezzi di trasporto dal 20/3 a 31/3
488,2832,Spesa AH
489,2833,Spesa AH
490,2837,Spesa da Amazing Oriental
491,2838,Spesa AH
492,2840,Spesa AH
493,2841,Spesa AH
494,2842,Laundry
495,2844,Mezzi di trasporto dal 1/4 a 16/4
496,2847,Spesa AH
501,2859,2G2G
503,2864,Spesa Dirk
504,2865,Acquisti Action
505,2871,Spesa AH
506,2872,Laundry
507,2877,Spesa AH
508,2880,Spesa AH
509,2882,Colazione AH
510,2895,Spesa AH
511,2896,Spesa AH
512,2897,Laundry
513,2899,Spesa AH
514,2900,Spesa AH
515,2903,Spesa AH
516,2908,Spesa AH
517,2909,Laundry
518,2912,Spesa Dirk
519,2914,Spesa AH
157,1938,Pranzo Kanteen
158,1939,Cena Kanteen
435,2707,Spesa AH
463,2777,Spesa AH
264,2183,Pranzo AH
265,2184,Cena Kanteen
482,2823,Spesa AH
502,2862,Spesa AH
520,2919,Spesa AH
521,2920,Spesa Amazing Oriental
529,2934,TEST
531,3063,Spesa AH
162,1944,Pranzo Burger 'n shake
178,1973,Pranzo AH
179,1974,Cena Kebab
180,1975,Affitto ostello 27/11 - 3/12
185,1987,Pranzo AH
186,1989,Cena Kebab
187,1994,Pranzo AH + dentifricio
188,1995,Cena ostello
189,1996,Lavaggio + asciugatura
339,2383,Spesa AH
340,2385,Spesa AH
349,2418,Lavaggio
445,2740,Spesa AH
446,2741,TGTG
447,2742,Laundry
497,2854,Spesa AH
498,2855,Spesa AH
499,2856,Spesa AH
500,2858,Laundry
172,1963,Affitto ostello 26-27/11
173,1964,Pranzo AH + tabacco
203,2023,Cena ostello
245,2138,Spedizione due pacchi
269,2190,Lavatrice (3€ per errore)
270,2191,Spesa AH
222,2054,Cena ostello
448,2745,Spesa AH
449,2747,Spesa AH
450,2754,Spesa Amazing Oriental
296,2251,Stampa contratto affitto x BSN
442,2734,Spesa AH
443,2736,Spesa AH
444,2737,Laundry (solo dryer)
480,2820,Laundry
522,2922,Laundry
523,2923,Tassa h2o anno 2023
524,2924,2G2G
525,2928,Spesa AH
526,2929,Fogli di inv. primavera AO
527,2931,Spesa AH
307,2290,Spesa AH
560,3303,Spesa AH
561,3305,Spesa AH
