ID,DATA_MOV,DATA_INS,IMPORTO,DARE_AVERE,ID_TIPO_MOV,ID_CONTO,NOTE
177,2020-12-12,2020-12-24 19:41:43,20,False,1,2,
178,2020-12-13,2020-12-24 19:42:28,24,False,1,2,
179,2020-12-22,2020-12-24 19:43:01,50,False,1,4,
180,2020-12-22,2020-12-24 19:44:24,807,True,3,5,
181,2020-12-19,2020-12-24 19:45:17,16,False,1,2,
182,2020-12-20,2020-12-24 19:45:41,20,False,1,2,
183,2020-12-19,2020-12-24 19:46:36,20,False,1,2,
184,2020-12-23,2020-12-24 19:50:59,6,3000002,False,1,1,
185,2020-12-23,2020-12-24 19:55:49,97,900002,False,1,2,
186,2020-12-23,2020-12-24 19:56:09,70,False,1,2,
187,2020-12-23,2020-12-24 19:56:36,61,860001,False,1,2,
188,2020-02-24,2020-12-24 20:52:33,20,False,1,2,
2763,2024-02-22,2024-02-26 20:29:54.050000000,3,5,False,7,2,
2764,2024-02-20,2024-02-26 20:31:25.370000000,2,1800001,False,7,7,
2765,2024-02-21,2024-02-26 20:31:52.567000000,1,6,False,1,7,
2766,2024-02-22,2024-02-26 20:32:30.573000000,4,9699998,False,7,7,
2767,2024-02-22,2024-02-26 20:32:48.037000000,10,False,1,7,
2768,2024-02-23,2024-02-26 20:33:17.017000000,10,84,False,2,7,
2769,2024-02-23,2024-02-26 20:34:06.020000000,9,1300001,False,7,7,
2770,2024-02-24,2024-02-26 20:34:25.380000000,35,639999,False,7,7,
2771,2024-02-19,2024-02-26 20:36:00.550000000,1000,True,5,5,
2772,2024-02-20,2024-02-26 20:36:31.270000000,431,True,4,5,
2773,2024-02-20,2024-02-26 20:36:54.817000000,123,True,4,5,
2774,2024-02-26,2024-02-26 20:37:21.400000000,772,56,False,2,5,
2777,2024-02-29,2024-03-03 21:37:48.317000000,13,89,False,7,7,
2778,2024-02-29,2024-03-03 21:38:19.090000000,10,False,1,7,
