id|id_tipo_mov|id_conto|data_ins|data_mov|dare_avere|importo|note
297|1|2|04/04/2021 01:44:56|28/03/2021|f|500|
298|1|2|04/04/2021 01:46:19|17/03/2021|f|12.43|
299|2|2|04/04/2021 01:51:05|28/03/2021|f|69.9|
300|2|2|04/04/2021 01:52:14|31/03/2021|f|26.28|
301|1|2|04/04/2021 01:52:50|31/01/2021|f|8.43|
302|1|1|04/04/2021 01:54:47|27/03/2021|f|2|
303|1|1|04/04/2021 01:57:20|22/03/2021|f|2|
304|1|1|04/04/2021 01:58:22|25/03/2021|f|25|
305|1|1|04/04/2021 01:58:42|25/03/2021|f|4|
307|1|2|04/04/2021 05:01:27|02/04/2021|f|200|
308|2|2|04/04/2021 05:09:34|04/04/2020|f|5|
309|1|1|05/04/2021 00:06:39|04/04/2020|f|1.9|
310|1|1|16/04/2021 16:55:14|03/04/2021|f|10.2|
311|1|1|16/04/2021 16:59:32|09/04/2021|f|3.9|
312|1|2|16/04/2021 17:04:01|09/04/2021|f|7.5|
313|1|2|16/04/2021 17:04:24|09/04/2021|f|17|
314|1|2|16/04/2021 17:04:42|10/04/2021|f|8|
315|1|2|16/04/2021 17:05:08|10/04/2021|f|5|
317|1|1|16/04/2021 17:09:56|15/04/2021|f|8.2|
319|1|2|19/04/2021 01:32:01|16/04/2021|f|8.4|
320|1|2|19/04/2021 01:35:00|15/04/2021|f|11|
321|1|2|19/04/2021 12:42:30|18/04/2021|f|44.5|
322|1|1|04/05/2021 00:09:17|24/04/2021|f|5|
323|1|1|04/05/2021 00:09:34|23/04/2021|f|2.5|
324|1|1|04/05/2021 00:10:00|19/04/2021|f|10.2|
325|1|2|04/05/2021 00:11:19|24/04/2021|f|44.5|
326|5|1|04/05/2021 00:18:21|17/04/2021|f|30|
327|6|2|04/05/2021 00:27:18.92|04/05/2021|t|30|
328|1|2|04/05/2021 00:29:24|03/05/2021|f|31|
329|1|4|04/05/2021 00:29:47|03/05/2021|f|5.1|
330|1|2|04/05/2021 00:31:20|04/05/2021|f|1029|
331|5|2|04/05/2021 00:34:22|01/05/2021|f|1061|
332|1|2|04/05/2021 22:53:01|04/05/2021|f|5|
333|1|1|04/05/2021 22:53:15|04/05/2021|f|5|
334|2|2|05/05/2021 01:45:18|02/05/2021|f|10|
335|1|1|05/05/2021 22:59:26|05/05/2021|f|3.5|
336|1|2|05/05/2021 22:59:39|05/05/2021|f|5|
337|1|2|05/05/2021 23:00:19|05/05/2021|f|220|
338|1|2|06/05/2021 19:18:43|06/05/2021|f|50|
339|1|1|06/05/2021 19:19:09|06/05/2021|f|2|
